Lista de indices Diarios da TaxaSelic;20060102;20180329;
Data;Taxa (%a.a.);Fator diário;Base de cálculo (R$);Média;Mediana;Moda;Desvio padrão;Índice de curtose;
09/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
10/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
13/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
14/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
15/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
16/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
17/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
20/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
21/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
22/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
23/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
24/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
27/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
28/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
29/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
30/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
31/03/2006;16,54;1,00060758;0,00;0,00;0,00;0,00;0,00;0,00;
03/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
04/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
05/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
06/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
07/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
10/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
11/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
12/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
13/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
17/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
18/04/2006;16,45;1,00060452;0,00;0,00;0,00;0,00;0,00;0,00;
19/04/2006;16,44;1,00060417;0,00;0,00;0,00;0,00;0,00;0,00;
20/04/2006;15,69;1,00057852;0,00;0,00;0,00;0,00;0,00;0,00;
24/04/2006;15,68;1,00057817;0,00;0,00;0,00;0,00;0,00;0,00;
25/04/2006;15,68;1,00057817;0,00;0,00;0,00;0,00;0,00;0,00;
26/04/2006;15,68;1,00057817;0,00;0,00;0,00;0,00;0,00;0,00;
27/04/2006;15,69;1,00057852;0,00;0,00;0,00;0,00;0,00;0,00;
28/04/2006;15,70;1,00057886;0,00;0,00;0,00;0,00;0,00;0,00;
02/05/2006;15,70;1,00057886;0,00;0,00;0,00;0,00;0,00;0,00;
03/05/2006;15,71;1,00057920;0,00;0,00;0,00;0,00;0,00;0,00;
04/05/2006;15,71;1,00057920;0,00;0,00;0,00;0,00;0,00;0,00;
05/05/2006;15,77;1,00058126;0,00;0,00;0,00;0,00;0,00;0,00;
08/05/2006;15,77;1,00058126;0,00;0,00;0,00;0,00;0,00;0,00;
09/05/2006;15,77;1,00058126;0,00;0,00;0,00;0,00;0,00;0,00;
10/05/2006;15,71;1,00057920;0,00;0,00;0,00;0,00;0,00;0,00;
11/05/2006;15,70;1,00057886;0,00;0,00;0,00;0,00;0,00;0,00;
12/05/2006;15,75;1,00058058;0,00;0,00;0,00;0,00;0,00;0,00;
15/05/2006;15,74;1,00058023;0,00;0,00;0,00;0,00;0,00;0,00;
16/05/2006;15,77;1,00058126;0,00;0,00;0,00;0,00;0,00;0,00;
17/05/2006;15,68;1,00057817;0,00;0,00;0,00;0,00;0,00;0,00;
18/05/2006;15,68;1,00057817;0,00;0,00;0,00;0,00;0,00;0,00;
19/05/2006;15,66;1,00057749;0,00;0,00;0,00;0,00;0,00;0,00;
22/05/2006;15,66;1,00057749;0,00;0,00;0,00;0,00;0,00;0,00;
23/05/2006;15,67;1,00057783;0,00;0,00;0,00;0,00;0,00;0,00;
24/05/2006;15,66;1,00057749;0,00;0,00;0,00;0,00;0,00;0,00;
25/05/2006;15,67;1,00057783;0,00;0,00;0,00;0,00;0,00;0,00;
26/05/2006;15,66;1,00057749;0,00;0,00;0,00;0,00;0,00;0,00;
29/05/2006;15,67;1,00057783;0,00;0,00;0,00;0,00;0,00;0,00;
30/05/2006;15,66;1,00057749;0,00;0,00;0,00;0,00;0,00;0,00;
31/05/2006;15,66;1,00057749;0,00;0,00;0,00;0,00;0,00;0,00;
01/06/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
02/06/2006;15,16;1,00056028;0,00;0,00;0,00;0,00;0,00;0,00;
05/06/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
06/06/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
07/06/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
08/06/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
09/06/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
12/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
13/06/2006;15,19;1,00056132;0,00;0,00;0,00;0,00;0,00;0,00;
14/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
16/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
19/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
20/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
21/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
22/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
23/06/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
26/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
27/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
28/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
29/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
30/06/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
03/07/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
04/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
05/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
06/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
07/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
10/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
11/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
12/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
13/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
14/07/2006;15,18;1,00056097;0,00;0,00;0,00;0,00;0,00;0,00;
17/07/2006;15,16;1,00056028;0,00;0,00;0,00;0,00;0,00;0,00;
18/07/2006;15,19;1,00056132;0,00;0,00;0,00;0,00;0,00;0,00;
19/07/2006;15,17;1,00056063;0,00;0,00;0,00;0,00;0,00;0,00;
20/07/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
21/07/2006;14,65;1,00054266;0,00;0,00;0,00;0,00;0,00;0,00;
24/07/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
25/07/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
26/07/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
27/07/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
28/07/2006;14,65;1,00054266;0,00;0,00;0,00;0,00;0,00;0,00;
31/07/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
01/08/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
02/08/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
03/08/2006;14,67;1,00054335;0,00;0,00;0,00;0,00;0,00;0,00;
